Texto,Estado de ánimo
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Me invade una sensación de vacío.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Me invade una sensación de vacío.,Melancólico
Me invade una sensación de vacío.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
Me invade una sensación de vacío.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
Me invade una sensación de vacío.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Me invade una sensación de vacío.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
Me invade una sensación de vacío.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
Me invade una sensación de vacío.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
Me invade una sensación de vacío.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Me invade una sensación de vacío.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Me invade una sensación de vacío.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Me invade una sensación de vacío.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Me invade una sensación de vacío.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
No tengo muchas ganas de hacer nada hoy.,Melancólico
Me invade una sensación de vacío.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
Es uno de esos días en los que la soledad pesa.,Melancólico
Siento una tristeza que no puedo explicar.,Melancólico
Recuerdo tiempos mejores y me siento nostálgico.,Melancólico
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Estoy simplemente aquí, sin sentir mucho.",Neutral
"Es un día común, sin nada destacable.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
No hay nada bueno ni malo en este día.,Neutral
No hay nada bueno ni malo en este día.,Neutral
"Es un día común, sin nada destacable.",Neutral
"Hoy es un día cualquiera, nada especial.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
"Es un día común, sin nada destacable.",Neutral
"Me siento neutral, sin emociones fuertes.",Neutral
